"Title1","Title2","IPV4","IPV6","DoH","DoT","Other"
"AdGuard DNS","Default","94.140.14.14 94.140.15.15 ","2a10:50c0::ad1:ff 2a10:50c0::ad2:ff ","https://dns.adguard.com/dns-query ","tls://dns.adguard.com ","DNSCrypt, IPv4:2.dnscrypt.default.ns1.adguard.com 176.103.130.130:5443 DNSCrypt, IPv6:2.dnscrypt.default.ns2.adguard.com [2a00:5a60::ad2:0ff]:5443 "
"AdGuard DNS","Family Protection","94.140.14.15 94.140.15.16 ","2a10:50c0::bad1:ff 2a10:50c0::bad2:ff ","https://dns-family.adguard.com/dns-query ","tls://dns-family.adguard.com ","DNSCrypt, IPv4:2.dnscrypt.family.ns1.adguard.com 176.103.130.132:5443 DNSCrypt, IPv6:2.dnscrypt.family.ns2.adguard.com [2a00:5a60::bad2:0ff]:5443 "
"AdGuard DNS","Non-filtering","94.140.14.140 94.140.14.141 ","2a10:50c0::1:ff 2a10:50c0::2:ff ","https://dns-unfiltered.adguard.com/dns-query ","tls://dns-unfiltered.adguard.com ","DNSCrypt, IPv4:2.dnscrypt.unfiltered.ns1.adguard.com 94.140.14.140:5443 DNSCrypt, IPv6:2.dnscrypt.default.ns2.adguard.com [2a00:5a60::01:ff]:5443 "
"Yandex DNS","Basic","77.88.8.8 77.88.8.1 ","2a02:6b8::feed:0ff 2a02:6b8:0:1::feed:0ff ","","","DNSCrypt, IPv4:2.dnscrypt-cert.browser.yandex.net 77.88.8.78:15353 "
"Yandex DNS","Safe","77.88.8.88 77.88.8.2 ","2a02:6b8::feed:bad 2a02:6b8:0:1::feed:bad ","","",""
"Yandex DNS","Family","77.88.8.3 77.88.8.7 ","2a02:6b8::feed:a11 2a02:6b8:0:1::feed:a11 ","","",""
"CleanBrowsing","Family Filter","185.228.168.168 185.228.169.168 ","2a0d:2a00:1:: 2a0d:2a00:2:: ","https://doh.cleanbrowsing.org/doh/family-filter/ ","tls://family-filter-dns.cleanbrowsing.org ","DNSCrypt, IPv4:cleanbrowsing.org 185.228.168.168:8443 DNSCrypt, IPv6:cleanbrowsing.org [2a0d:2a00:1::]:8443 "
"CleanBrowsing","Adult Filter","185.228.168.10 185.228.169.11 ","2a0d:2a00:1::1 2a0d:2a00:2::1 ","https://doh.cleanbrowsing.org/doh/adult-filter/ ","tls://adult-filter-dns.cleanbrowsing.org ","DNSCrypt, IPv4:cleanbrowsing.org 185.228.168.10:8443 DNSCrypt, IPv6:cleanbrowsing.org [2a0d:2a00:1::1]:8443 "
"CleanBrowsing","Security Filter","185.228.168.9 185.228.169.9 ","2a0d:2a00:1::2 2a0d:2a00:2::2 ","https://doh.cleanbrowsing.org/doh/security-filter/ ","tls://security-filter-dns.cleanbrowsing.org ",""
"Comodo Secure DNS","Security Filter","8.26.56.26 8.20.247.20 ","","","","DNSCrypt, IPv4:2.dnscrypt-cert.shield-2.dnsbycomodo.com 8.20.247.2 "
"Neustar Recursive DNS","Reliability & Performance 1","156.154.70.1 156.154.71.1 ","2610:a1:1018::1 2610:a1:1019::1 ","","",""
"Neustar Recursive DNS","Reliability & Performance 2*","156.154.70.5 156.154.71.5 ","2610:a1:1018::5 2610:a1:1019::5 ","","",""
"Neustar Recursive DNS","Threat Protection","156.154.70.2 156.154.71.2 ","2610:a1:1018::2 2610:a1:1019::2 ","","",""
"Neustar Recursive DNS","Family Secure","156.154.70.3 156.154.71.3 ","2610:a1:1018::3 2610:a1:1019::3 ","","",""
"Neustar Recursive DNS","Business Secure","156.154.70.4 156.154.71.4 ","2610:a1:1018::4 2610:a1:1019::4 ","","",""
"Cisco OpenDNS","Standard","208.67.222.222 208.67.220.220 ","2620:119:35::35 2620:119:53::53 ","https://doh.opendns.com/dns-query ","","DNSCrypt, IPv4:2.dnscrypt-cert.opendns.com 208.67.220.220 DNSCrypt, IPv6:2.dnscrypt-cert.opendns.com [2620:0:ccc::2] "
"Cisco OpenDNS","FamilyShield","208.67.222.123 208.67.220.123 ","","https://doh.familyshield.opendns.com/dns-query ","","DNSCrypt, IPv4:2.dnscrypt-cert.opendns.com 208.67.220.123 "
"Google DNS","FamilyShield","8.8.8.8 8.8.4.4 ","2001:4860:4860::8888 2001:4860:4860::8844 ","https://dns.google/dns-query ","tls://dns.google ",""
"Cloudflare DNS","Standard","1.1.1.1 1.0.0.1 ","2606:4700:4700::1111 2606:4700:4700::1001 ","https://dns.cloudflare.com/dns-query https://dns.cloudflare.com/dns-query ","tls://1.1.1.1 ",""
"Cloudflare DNS","Malware blocking only","1.1.1.2 1.0.0.2 ","2606:4700:4700::1112 2606:4700:4700::1002 ","https://security.cloudflare-dns.com/dns-query ","tls://security.cloudflare-dns.com ",""
"Cloudflare DNS","Malware and adult content blocking","1.1.1.3 1.0.0.3 ","2606:4700:4700::1113 2606:4700:4700::1003 ","https://family.cloudflare-dns.com/dns-query ","tls://family.cloudflare-dns.com ",""
"Quad9 DNS","Standard","9.9.9.9 149.112.112.112 ","2620:fe::fe 2620:fe::fe:9 ","https://dns.quad9.net/dns-query ","tls://dns.quad9.net ","DNSCrypt, IPv4:2.dnscrypt-cert.quad9.net 9.9.9.9:8443 DNSCrypt, IPv6:2.dnscrypt-cert.quad9.net [2620:fe::fe]:8443 "
"Quad9 DNS","Unsecured","9.9.9.10 149.112.112.10 ","2620:fe::10 2620:fe::fe:10 ","https://dns10.quad9.net/dns-query ","tls://dns10.quad9.net ","DNSCrypt, IPv4:2.dnscrypt-cert.quad9.net 9.9.9.10:8443 DNSCrypt, IPv6:2.dnscrypt-cert.quad9.net [2620:fe::fe:10]:8443 "
"Quad9 DNS","ECS support","9.9.9.11 149.112.112.11 ","2620:fe::11 2620:fe::fe:11 ","https://dns11.quad9.net/dns-query ","tls://dns11.quad9.net ","DNSCrypt, IPv4:2.dnscrypt-cert.quad9.net 9.9.9.11:8443 DNSCrypt, IPv6:2.dnscrypt-cert.quad9.net [2620:fe::11]:8443 "
"Verisign Public DNS","ECS support","64.6.64.6 64.6.65.6 ","2620:74:1b::1:1 2620:74:1c::2:2 ","","",""
"SWITCH DNS","ECS support","dns.switch.ch 130.59.31.248 ","dns.switch.ch 2001:620:0:ff::2 ","https://dns.switch.ch/dns-query ","tls://dns.switch.ch 130.59.31.248 2001:620:0:ff::2 ",""
"Dyn DNS","ECS support","216.146.35.35 216.146.36.36 ","","","",""
"DNS.WATCH","ECS support","84.200.69.80 84.200.70.40 ","2001:1608:10:25::1c04:b12f 2001:1608:10:25::9249:d69b ","","",""
"SkyDNS RU","ECS support","193.58.251.251 ","","","",""
"Comss.ru DNS","West DNS Server (Main)","92.38.152.163 93.115.24.204 ","2a03:90c0:56::1a5 2a02:7b40:5eb0:e95d::1 ","https://dns.comss.one/dns-query ","tls://dns.comss.one ","DNSCrypt, IPv4:2.dnscrypt-cert.dns.comss.one 94.176.233.93:443 DNSCrypt, IPv6:2.dnscrypt-cert.dns.comss.one [2a02:7b40:5eb0:e95d::1]:443 "
"Comss.ru DNS","East DNS Server (Siberia and Far East)","92.223.109.31 91.230.211.67 ","2a03:90c0:b5::1a 2a04:2fc0:39::47 ","https://dns.east.comss.one/dns-query ","tls://dns.east.comss.one ",""
"Safe DNS","East DNS Server (Siberia and Far East)","195.46.39.39 195.46.39.40 ","","","",""
