"Provider","IPv4","IPv6","DNSoverHTTPSandTLS"
"AliDNS","223.5.5.5  223.6.6.6","","HTTPS: https://dns.alidns.com/dns-query  TLS: 9999.alidns.com"
"Alternate DNS","198.101.242.72  23.253.163.53","2602:fcbc::ad   2001:4800:780e:510:a8cf:392e:ff04:8982","HTTPS: https://dns.alternate-dns.com/dns-query  TLS: dns.alternate-dns.com"
"Cisco OpenDNS FamilyShield","208.67.222.123  208.67.220.123","2620:119:35::123   2620:119:53::123","HTTPS: https://doh.familyshield.opendns.com/dns-query"
"Cisco OpenDNS Standards","208.67.222.222  208.67.220.220","2620:119:35::35   2620:119:53::53","HTTPS: https://doh.opendns.com/dns-query"
"CleanBrowsing Adult","185.228.168.10  185.228.169.11","2a0d:2a00:1::1   2a0d:2a00:2::1","HTTPS: adult-filter-dns.cleanbrowsing.org"
"CleanBrowsing Family","185.228.168.168  185.228.169.168","2a0d:2a00:1::   2a0d:2a00:2::","HTTPS: family-filter-dns.cleanbrowsing.org"
"CleanBrowsing Security","185.228.168.9  185.228.169.9","2a0d:2a00:1::2   2a0d:2a00:2::2","HTTPS: security-filter-dns.cleanbrowsing.org"
"Cloudflare","1.1.1.1  1.0.0.1","2606:4700:4700::1111   2606:4700:4700::1001","HTTPS: 1dot1dot1dot1.cloudflare-dns.com"
"Comodo DNS","8.26.56.26  8.20.247.20","",""
"Comodo Secure Internet Gateway","8.26.56.10  8.20.247.10","",""
"Digital Courage","5.9.164.112  46.182.19.48","2a02:2970:1002::18","HTTPS: dns3.digitalcourage.de"
"dns.watch","84.200.69.80  84.200.70.40","2001:1608:10:25::1c04:b12f  2001:1608:10:25::9249:d69b","HTTPS: https://resolver2.dns.watch/dns-query"
"Dyn DNS","216.146.35.35  216.146.36.36","",""
"FreeDNS","172.104.237.57  37.235.1.177","",""
"Google","8.8.8.8  8.8.4.4","2001:4860:4860::8888  2001:4860:4860::8844","HTTPS: dns.google  TLS: dns.google"
"Hurricane Electric","74.82.42.42","2001:470:20::2",""
"OpenNIC","69.195.152.204  23.94.60.240","",""
"Quad9","9.9.9.9   149.112.112.112","2620:fe::fe  2620:fe::9","HTTPS: https://dns11.quad9.net/dns-query  TLS: tls://dns11.quad9.net"
"UncensoredDNS","91.239.100.100  89.233.43.71","2001:67c:28a4::  2a01:3a0:53:53::","HTTPS: https://anycast.uncensoreddns.org/dns-query  HTTPS: https://unicast.uncensoreddns.org/dns-query"
"Yandex.DNS Standard","77.88.8.8  77.88.8.1","",""
"Yandex.DNS Safe","77.88.8.88  77.88.8.2","",""
"Yandex.DNS Family","77.88.8.7  77.88.8.3","",""
