Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
4.2.2.1,2021-08-07,839335,621854,86576,158848,186709,85859,41418,62444
4.2.2.2,2021-08-07,839335,605827,85547,158206,183801,76564,38544,63165
4.2.2.3,2021-08-07,839335,646307,91631,166025,191920,88011,42645,66075
4.2.2.4,2021-08-07,839335,633225,91071,164747,186390,78631,40827,71559
4.2.2.5,2021-08-07,839335,658213,92491,169603,196624,89068,43288,67139
4.2.2.6,2021-08-07,839335,645784,92671,169109,189990,79606,41761,72647
4.17.179.2,2021-08-06,839335,18788,470,530,1080,1035,1277,14396
8.2.208.1,2021-08-06,839335,40479,582,827,2753,3491,6401,26425
8.2.208.2,2021-08-06,839335,54443,569,1036,3935,4729,7821,36353
8.5.244.5,2021-08-06,839335,84786,1324,4513,12111,14505,11254,41079
8.8.4.4,2021-08-07,839335,704204,241058,143376,128510,73130,45732,72398
8.8.8.8,2021-08-07,839335,704555,241951,148396,128626,70786,44307,70489
8.8.192.35,2021-08-07,839335,7938,335,479,640,880,1637,3967
8.8.192.36,2021-08-07,839335,8169,314,488,635,937,1751,4044
8.10.118.8,2021-08-07,839335,3397,260,416,508,399,405,1409
8.10.118.9,2021-08-07,839335,3341,234,387,491,414,350,1465
8.15.12.5,2021-08-07,839335,239250,3597,10549,26472,35332,29242,134058
12.10.245.202,2021-08-06,839335,3312,219,406,434,419,414,1420
12.17.136.131,2021-08-07,839335,6771,700,935,867,560,639,3070
12.25.93.2,2021-08-07,839335,9323,232,486,698,826,1102,5979
12.25.232.115,2021-08-06,839335,54088,538,1481,4776,8242,6765,32286
12.27.222.9,2021-08-06,839335,18512,355,733,1944,2293,2168,11019
12.27.240.3,2021-08-06,839335,10474,385,610,821,858,990,6810
12.32.34.32,2021-08-06,839335,11676,278,625,1599,2503,1371,5300
12.32.34.33,2021-08-06,839335,11576,298,634,1610,2467,1409,5158
12.68.121.131,2021-08-06,839335,3155,177,324,523,386,393,1352
12.68.121.133,2021-08-06,839335,3165,183,321,549,405,402,1305
12.96.51.35,2021-08-06,839335,3154,193,306,527,389,367,1372
12.106.80.10,2021-08-07,839335,12004,291,486,1358,1170,1412,7287
12.106.254.37,2021-08-06,839335,7947,226,429,1819,1761,744,2968
12.109.193.94,2021-08-06,839335,7801,196,412,761,686,750,4996
12.127.16.67,2021-08-07,839335,458055,26412,53507,87870,53913,45832,190521
12.127.17.71,2021-08-07,839335,457587,26626,53463,87835,56089,47492,186082
12.158.132.6,2021-08-06,839335,6401,211,357,635,585,792,3821
12.160.140.10,2021-08-06,839335,18565,388,593,1247,1627,2539,12171
12.160.140.11,2021-08-06,839335,17340,372,567,1141,1601,2349,11310
12.162.224.2,2021-08-06,839335,31028,507,831,3081,4663,5378,16568
12.166.30.2,2021-08-07,839335,12959,222,477,1360,2849,2808,5243
12.167.129.131,2021-08-05,839335,3133,175,294,506,403,397,1358
12.173.168.201,2021-08-07,839335,40589,754,2627,6956,4814,5031,20407
12.175.181.41,2021-08-07,839335,3260,181,275,520,406,390,1488
12.186.41.1,2021-08-07,839335,3620,197,333,525,453,429,1683
12.231.192.230,2021-08-06,839335,3193,171,255,527,410,376,1454
18.70.0.160,2021-08-07,839335,21504,1613,591,1551,2654,2897,12198
18.71.0.151,2021-08-06,839335,21625,1622,600,1475,2658,3023,12247
18.72.0.3,2021-08-07,839335,21400,1610,637,1512,2568,3041,12032
18.85.2.138,2021-08-06,839335,77255,2120,1313,3785,7219,8771,54047
24.25.5.149,2021-08-07,839335,29303,2721,1175,2750,3687,3819,15151
24.25.5.150,2021-08-06,839335,30666,2921,1188,2786,4072,3991,15708
24.25.195.1,2021-08-06,839335,3053,151,271,464,422,385,1360
24.25.195.2,2021-08-06,839335,3012,172,258,415,438,394,1335
24.25.195.3,2021-08-07,839335,3015,150,262,416,455,358,1374
24.25.227.53,2021-08-06,839335,8528,902,274,436,519,774,5623
24.25.227.55,2021-08-07,839335,9933,948,277,455,575,909,6769
24.29.103.15,2021-08-06,839335,29391,1287,1724,2839,5255,5353,12933
24.29.103.16,2021-08-06,839335,30007,1299,1883,2986,5445,5429,12965
24.30.199.7,2021-08-06,839097,3078,194,222,421,466,408,1367
24.30.200.3,2021-08-06,839097,3022,141,255,418,484,406,1318
24.30.200.19,2021-08-07,839097,3092,169,247,384,466,389,1437
24.30.201.3,2021-08-06,839097,3000,147,266,436,406,369,1376
24.35.0.12,2021-08-06,839335,51754,409,1591,6255,10252,9413,23834
24.35.0.13,2021-08-06,839335,52193,434,1641,6369,10438,9618,23693
24.56.130.2,2021-08-06,839335,3136,168,265,439,494,370,1400
24.89.0.21,2021-08-07,839335,40023,435,1008,3004,4642,6125,24809
24.89.0.22,2021-08-06,839335,39334,433,932,3034,4632,6236,24067
24.93.1.119,2021-08-06,839335,3013,154,234,380,465,413,1367
24.93.41.125,2021-08-06,839335,29281,1260,1111,3063,3050,3993,16804
24.102.55.4,2021-08-06,839335,46271,1438,4150,3348,4178,4951,28206
24.102.62.102,2021-08-06,839335,2974,164,221,374,413,400,1402
24.113.32.29,2021-08-07,839335,46759,1442,2465,2886,3918,5768,30280
24.113.32.30,2021-08-07,839335,44629,1517,2844,3197,3518,5194,28359
24.116.33.232,2021-08-07,839335,8046,198,288,567,672,805,5516
24.116.39.12,2021-08-07,839335,2964,145,242,408,425,403,1341
24.116.197.232,2021-08-07,839335,3824,180,258,479,505,482,1920
24.116.199.232,2021-08-06,839335,6769,210,306,587,661,940,4065
24.116.200.232,2021-08-06,839335,4266,180,273,467,516,528,2302
24.116.209.232,2021-08-07,839335,7828,146,292,495,588,652,5655
24.116.212.232,2021-08-06,839335,5674,202,265,532,651,889,3135
24.116.214.232,2021-08-06,839335,4801,187,282,519,792,839,2182
24.116.215.232,2021-08-06,839335,9211,199,335,731,1438,1486,5022
24.116.221.232,2021-08-06,839335,6230,174,286,521,576,836,3837
24.116.222.232,2021-08-06,839335,6327,203,286,857,1094,1030,2857
